"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"Z1","=~","x1","",1,0,NA,NA,1,1
"Z1","=~","x4","",12.1917829953301,15.9734488366426,0.763253015677027,0.445312516728558,-11.4717194161759,61.9859319138149
"Z1","=~","x5","",-0.442301407865981,16.9814381636455,-0.0260461689760103,0.97922051340993,-20.4191228773133,27.981280318301
"Z1","=~","x6","",0.0275992770806444,11.5117485398066,0.00239748783472889,0.998087083304515,-18.5020910588217,24.1517731791465
"Z1","=~","x7","",8.16228543604204,10.8364127021891,0.753227628031661,0.451313139833659,-8.34096884362967,43.1038329028511
"Z1","=~","x9","",11.142549777912,7.73272125097926,1.44096100405803,0.149595699947437,-3.58312890924609,27.0374775177424
"Z1","=~","x10","",-7.92074515310762,5.00969234404834,-1.58108414831455,0.113858798676769,-17.8667384469315,0.721546516348484
"Z2","=~","x11","",1,0,NA,NA,1,1
"Z2","=~","x12","",0.612038794808466,0.685141538616106,0.893302712377798,0.371695085852346,-0.642676381013983,2.19402149537208
"Z2","=~","x13","",-0.399448252042026,0.574301006296429,-0.695538137079023,0.486718119701366,-1.68113638809981,0.383768894929459
"Z3","=~","Z3","",0,0,NA,NA,0,0
"Z4","=~","x16","",1,0,NA,NA,1,1
"M1","~","Z1","a1",76.9325683395676,0.316360385848667,243.180157127412,0,75.9946995742208,77.5280607912903
"M1","~","Z2","a2",1.0413620818399,7.02072748567418,0.148326805728438,0.882084861427175,-7.71871657332276,18.7862747030756
"M1","~","Z3","a3",0,0,NA,NA,0,0
"M1","~","Z4","a4",-0.066921481047677,2.03453537641023,-0.032892758623718,0.973760107453987,-2.99000560908796,5.1423316315829
"M2","~","Z1","b1",26.6072549834497,4.2899616932616,6.20221272027737,5.56747536961666e-10,18.8075404461877,36.9467137746032
"M2","~","Z2","b2",3.28201026768526,18.31728864731,0.179175549988794,0.857799861324473,-0.0795437482556459,71.7510680434877
"M2","~","Z3","b3",0,0,NA,NA,0,0
"M2","~","Z4","b4",0.594405450421756,5.14596120715571,0.115509119966782,0.908041592175359,-0.619679051782593,19.6022354865313
"M3","~","Z1","d1",-4.58567554806879,27.8752579065015,-0.164507017780784,0.869332022621876,-84.0198653873653,32.1685999880343
"M3","~","Z2","d2",4.3247561341567,4.86653121169902,0.888673255348716,0.374178708547473,2.31064078574142,22.0873718377771
"M3","~","Z3","d3",0,0,NA,NA,0,0
"M3","~","Z4","d4",1.19044895022687,1.62955688182223,0.730535376522526,0.465062997078159,-0.0944674289763514,6.18806091821959
"M4","~","Z1","l1",3.51410915888401,5.35867573213868,0.655779400460477,0.511966072393237,-8.27946166771315,11.0103519534725
"M4","~","Z2","l2",0.0358035138720772,1.35861155552471,0.0263530173333831,0.97897576785741,-0.807873700489292,1.13306272989825
"M4","~","Z3","l3",0,0,NA,NA,0,0
"M4","~","Z4","l4",-0.00400576633323726,0.173105746713959,-0.0231405739513455,0.981538141009146,-0.344749217392285,0.379830974415526
"M5","~","Z1","k1",-21.7331331425395,9.64616032346859,-2.25303461830962,0.0242569662997785,-25.6731243852371,7.83424978450222
"M5","~","Z2","k2",-0.0615146743344047,1.49304511349591,-0.0412008142140931,0.967135804576471,-2.44583308857118,2.46601653759699
"M5","~","Z3","k3",0,0,NA,NA,0,0
"M5","~","Z4","k4",0.369059774831267,0.529918510931137,0.696446278471723,0.486149389511698,-0.75445984095553,1.38635971100498
"Y","~","M1","m1",-0.8587092770023,0.956587965141179,-0.897679364882629,0.369356513697248,-3.41493304594246,0.340274166212079
"Y","~","M2","m2",5.10055230866183,3.93208971140116,1.29716071682513,0.194575893932733,0.248447750313596,16.0916063869729
"Y","~","M3","m3",-0.836992425137624,1.30590548724195,-0.640928791030153,0.521568949072855,-3.17447027001147,2.61968302109194
"Y","~","M4","m4",0.052533836489148,0.433214945205108,0.121265060383075,0.903481093518687,-1.06400872774931,0.674379711398377
"Y","~","M5","m5",0.160841826386567,0.27092761039355,0.593670856037625,0.552732279372826,-0.620777022759779,0.584338882798754
"Y","~","Z1","c1",-21.6651942107282,1.5356946391754,-14.1077488050368,0,-23.7941058255818,-18.5030341052931
"Y","~","Z2","c2",-7.46721245836593,10.8091250307846,-0.690824875935763,0.489675600787292,-36.3550100131656,1.47340809487709
"Y","~","Z3","c3",0,0,NA,NA,0,0
"Y","~","Z4","c4",-1.55844288398785,3.50545804198938,-0.444576105410584,0.656626118527242,-13.1015532706976,0.787629382123219
"x1","~~","x1","",0.0160290272085292,0.011866318203204,1.35080038593616,0.176759384437978,0.0155397845748951,0.0589570262343197
"x4","~~","x4","",0.503009656289256,0.202293617644985,2.48653250727866,0.0128994784050398,0.151701687706549,0.915439306036478
