"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"Z1","=~","x1","",1,0,NA,NA,1,1
"Z1","=~","x2","",-0.0755919494457135,1.10191829452552,-0.0686003216583882,0.945307762825423,-3.5528169107193,0.428968745594494
"Z1","=~","x3","",-0.044782858980173,1.0556110003345,-0.042423638031417,0.966160984885504,-2.865752307168,1.09358045525643
"Z1","=~","x4","",4.2599055262281,8.84605949363308,0.481559674032732,0.630118778807206,-0.696699361123242,30.236996357779
"Z1","=~","x5","",5.10228702911279,9.42400286055256,0.541413994096945,0.588222263712176,0.309022987013165,32.8381589276386
"Z1","=~","x6","",2.62330031892359,6.46424500488377,0.405816969644819,0.684877089063792,-3.84549528517829,21.2862146338304
"Z1","=~","x7","",4.55226348067594,7.53962152867352,0.603778778996197,0.545990729968669,-5.82235225870778,27.8453736252296
"Z1","=~","x9","",0.0965711280197549,8.52503708260097,0.0113279422815474,0.990961803048635,-6.20878886884957,14.2612298718008
"Z1","=~","x10","",-0.104929408055827,5.52052382979354,-0.0190071470191898,0.984835403943718,-11.1166069893914,12.6403968835742
"Z2","=~","x11","",1,0,NA,NA,1,1
"Z2","=~","x12","",0.984115381209574,4.38859486990472,0.224243843504046,0.822567569826178,-1.39477761174623,4.70567935355144
"Z2","=~","x13","",0.170694864006685,1.34636973115682,0.126781566798908,0.899113285560092,-1.49862641045112,1.60427159212072
"Z3","=~","x14","",1,0,NA,NA,1,1
"Z4","=~","x16","",1,0,NA,NA,1,1
"M1","~","Z1","a1",34.4248553509143,0.473407865645656,72.7171174141015,0,33.1373812363748,34.7086264901191
"M1","~","Z2","a2",-7.36928150481446,9.40966854306401,-0.783160583296683,0.433532818377159,-30.6094703082639,1.65976611445466
"M1","~","Z3","a3",-3.82583570038494,4.63556693206314,-0.825322070947249,0.40918876464839,-14.999203046284,4.55896559475153
"M1","~","Z4","a4",-2.60886513334155,3.0112579769315,-0.86637051801188,0.386287006175142,-10.3357507339579,1.62216397118807
"M2","~","Z1","b1",1.97504303570848,15.5109476372874,0.127332196709929,0.898677478411841,-16.2305930511795,57.5461270527073
"M2","~","Z2","b2",0.72696641544238,4.69989571293414,0.154677137503661,0.877075854679181,-2.02057618759674,5.48552153672152
