"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"Z1","=~","x1","",1,0,NA,NA,1,1
"Z1","=~","x4","",50.6741276295738,2.11463567202556,23.9635263416483,0,44.7453966119458,53.7875741679303
"Z1","=~","x5","",17.6196737232747,12.8127483696998,1.37516738914053,0.169079555934729,1.31906152000742,53.7854099066037
"Z1","=~","x6","",10.247857867116,10.2372670873574,1.00103453193789,0.316810113948468,-15.1629365805902,29.0935725432126
"Z1","=~","x7","",30.72832215317,5.75314679211058,5.34113299443504,9.23674585706635e-08,16.0052084562525,41.078255399623
"Z1","=~","x9","",-1.12964134795054,27.6563951254845,-0.040845574516312,0.967419006444378,-40.1215307126495,77.1772369284076
"Z1","=~","x10","",-3.13268700040273,13.5940635764432,-0.230445222121168,0.817745824398531,-48.1694134148735,10.4418392055246
"Z2","=~","x11","",1,0,NA,NA,1,1
"Z2","=~","x12","",0.253545074283837,0.639112750720973,0.396714154111018,0.691578261423351,-0.681432154373778,1.76142957273865
"Z2","=~","x13","",-0.7197436299541,0.790159312657781,-0.910884195660708,0.362356393746943,-2.22001946003713,1.02528719329746
"Z3","=~","Z3","",0,0,NA,NA,0,0
"Z4","=~","x16","",1,0,NA,NA,1,1
"M1","~","Z1","a1",15.3578731355748,9.84943330686779,1.55926464569957,0.118933755835336,-10.5755333651317,28.7720452355797
"M1","~","Z2","a2",8.5862698908036,4.38710285579797,1.95716174729208,0.0503284546312746,3.94479490583196,20.3253801667819
"M1","~","Z3","a3",0,0,NA,NA,0,0
"M1","~","Z4","a4",2.22614655561429,1.32198592221817,1.68394119649854,0.0921930336590817,0.162356647779446,5.4667063505489
"M2","~","Z1","b1",-25.7301469036327,0.939210682843565,-27.3955006833311,0,-28.7122822255365,-24.7869852891541
"M2","~","Z2","b2",62.2408814314202,0.255612463485078,243.49705246299,0,61.992712345966,63.0208210777723
"M2","~","Z3","b3",0,0,NA,NA,0,0
"M2","~","Z4","b4",14.0929232548123,7.12927966590268,1.97676678644194,0.04806799761841,1.16785304122158,29.0446236146093
"M3","~","Z1","d1",-13.5661005603952,11.0673483313765,-1.22577695706338,0.220282620857089,-30.0028498714122,18.7511324065067
"M3","~","Z2","d2",9.88933335690807,5.12409514956709,1.92996676842419,0.0536109554395467,4.09202638046625,23.7227746243741
"M3","~","Z3","d3",0,0,NA,NA,0,0
